2014-04-18,"Verplaatsing naar het amanda project geregeld"
2014-04-22,"Groepsbespreking: Uitleg project, bepalen wat het project is."
2014-04-23,"Groepsbespreking: Verdeling functies."
2014-05-05,"Inlezen in amanda code."
2014-05-06,"Groepsbespreking: Taakverdeling"
2014-05-07,"Bespreking met Dick Bruin. Verdere taakverdeling gemaakt."
2014-05-08,"Bespreking met Jos. Maken logboek, verder inlezen in amanda code."
2014-05-13,"Besprekking met Joris, verslag besprekking. Begin met c-code schrijven."
2014-05-14,"Verder gegaan met het schrijven van code."
2014-05-15,"Bespreking met Dick Bruin, uitleg gekregen over de amanda code."
