2014-04-18,"functies binnen groep verdelen"
2014-04-20,"beginnen leren C"
2014-04-22,"iden voor project opdoen en afspraak met utor."
2014-04-22,"osx compiler werkend krijgen."
2014-04-23,"besprekingen"
2014-04-25,"platform compilen werkend gemaakt"
2014-04-28,"de vakantieweek besteed aan het verder leren van C en amanda code analyseren"
2014-05-06,"afspraak met tutor om verslag en planning te bespreken."
2014-05-07,"afspraak met Dick Bruin om plan te maken voor de verschillende doelen van het project."
2014-05-08,"afspraak met opdrachtgever om de gestelde doelen en randvoorwaarden vast te stellen."
2014-05-09,"naar spreekuur geweest om vragen te stellen en shared library werkend gekregen op osx."
2014-05-13,"afspraak met tutor om verslag te bespreken en nieuw groepslid erbij."
2014-05-14,"amanda code doorzoeken en bespreking over de multiline interpeter."
